<TICKER>,x,<CLOSE>,<OPENINT>,<COl12>,Date
????_??6,20130519,42795.5,43301,Overall Index,5/18/2013
????_??6,20130520,43047.3,42795.5,Overall Index,5/19/2013
????_??6,20130521,42855.7,43047.3,Overall Index,5/20/2013
????_??6,20130522,42777.2,42855.7,Overall Index,5/21/2013
????_??6,20130525,43485.2,42777.2,Overall Index,5/22/2013
????_??6,20130526,43910.7,43485.2,Overall Index,5/25/2013
????_??6,20130527,44107.4,43910.7,Overall Index,5/26/2013
????_??6,20130528,44470.7,44107.4,Overall Index,5/27/2013
????_??6,20130529,45162.2,44470.7,Overall Index,5/28/2013
????_??6,20130601,44945.1,45162.2,Overall Index,5/29/2013
????_??6,20130602,45247.8,44945.1,Overall Index,6/1/2013
????_??6,20130603,45590,45247.8,Overall Index,6/2/2013
????_??6,20130608,45488.2,45590,Overall Index,6/3/2013
????_??6,20130609,45199.1,45488.2,Overall Index,6/8/2013
????_??6,20130610,45206.5,45199.1,Overall Index,6/9/2013
????_??6,20130611,45553.4,45206.5,Overall Index,6/10/2013
????_??6,20130612,45671.9,45553.4,Overall Index,6/11/2013
????_??6,20130615,46623,45671.9,Overall Index,6/12/2013
????_??6,20130616,47817.9,46623,Overall Index,6/15/2013
????_??6,20130617,48333.3,47817.9,Overall Index,6/16/2013
????_??6,20130618,48783,48333.3,Overall Index,6/17/2013
????_??6,20130619,48916.7,48783,Overall Index,6/18/2013
????_??6,20130622,48539.3,48916.7,Overall Index,6/19/2013
????_??6,20130623,48631.1,48539.3,Overall Index,6/22/2013
????_??6,20130625,48634,48631.1,Overall Index,6/23/2013
????_??6,20130626,49427.4,48634,Overall Index,6/25/2013
????_??6,20130629,50471.1,49427.4,Overall Index,6/26/2013
????_??6,20130630,51321.3,50471.1,Overall Index,6/29/2013
????_??6,20130701,52244.1,51321.3,Overall Index,6/30/2013
????_??6,20130702,51846.3,52244.1,Overall Index,7/1/2013
????_??6,20130703,52735.2,51846.3,Overall Index,7/2/2013
????_??6,20130706,54289.7,52735.2,Overall Index,7/3/2013
